full_text,text_final,skor_sentimen,label
Kasus Keracunan MBG Tembus 4.755 Orang dalam 2 Bulan di 2026 FSGI: Itu Bukan Lagi Kesalahan Kecil! https://t.co/ozXHxpa3nt #MakanBergiziGratis #MBG #KeracunanMBG #FSGI #BGN #KeracunanSiswa #ProgramPemerintah #GiziAnak #EvaluasiProgram #Sekolah #bitvonline #minggu,racun mbg tembus orang fsgi bukan salah,-4,negatif
MBG bukan program sembarangan sangat diperlukan pengawasan ketat ayo kawal bersama MBG #MakanBergiziGratis #MBG #KawalBersamaMBG #MBGPutusRantaiKemiskinan https://t.co/5PFjsXgAPU,mbg bukan program sembarang awas ketat ayo kawal mbg,-6,negatif
Makan Bergizi Gratis tidak hanya mengisi perut yang lapar tapi juga menghidupkan mimpi! Selain memastikan kesehatan dan semangat belajar anak terjaga program ini menjadi angin segar bagi pelaku UMKM. #MakanBergiziGratis https://t.co/BNATuIpwpE,makan gizi gratis tidak isi perut lapar hidup mimpi sehat semangat ajar anak jaga program angin segar laku umkm,-2,negatif
Program MBG hadir untuk memastikan setiap anak mendapatkan asupan gizi yang cukup terutama saat berada di sekolah. #MakanBergiziGratis #PapuaSehat #CerdasTanpaStunting https://t.co/Y02km2WiOu,program mbg hadir anak asupan gizi sekolah,-1,negatif
kawal bersama MBG serta Pengawasan ketat MBG Program Makan Bergizi Gratis menjadi bagian penting dalam menciptakan generasi sehat dan berkualitas sebagai investasi jangka panjang bangsa. #ProgramMBG #MakanBergiziGratis https://t.co/ShHrwC4lOI,kawal mbg awas ketat mbg program makan gizi gratis cipta generasi sehat kualitas investasi jangka bangsa,8,positif
Lewat Pengawasan ketat MBG setiap proses di dapur dijaga standar kualitasnya. Tujuannya jelas kenyamanan dan kesehatan anak jadi prioritas. #MakanBergiziGratis #PengawasanKetatMBG #GenerasiSehat https://t.co/jrbAfqg2Ex,awas ketat mbg proses dapur jaga standar kualitas tuju nyaman sehat anak prioritas,3,positif
Dapur MBG diawasi serius biar kualitas tetap aman dan nyaman buat anak-anak. Dengan kawal bersama MBG semua proses dijaga dari awal sampai tersaji. #MakanBergiziGratis #KawalBersamaMBG #GenerasiSehat https://t.co/1aI99pZVnx,dapur mbg awas serius biar kualitas aman nyaman anak anak kawal mbg proses jaga saji,-1,negatif
Ini bukan program sembarangan! Standar dapur diterapkan dengan sangat disiplin dan temuan pelanggaran di lapangan tidak akan ditoleransi dan langsung ditindak tegas. Pengawasan ketat MBG menjaga kualitas dari proses masak hingga distribusi. #MakanBergiziGratis #ProgramMBG https://t.co/LVxNTDMCJM,bukan program sembarang standar dapur terap disiplin temu langgar lapang tidak toleransi langsung tindak awas ketat mbg jaga kualitas proses masak distribusi,2,positif
Program ini bukan sekadar retorika tapi tentang gotong royong patriotik demi generasi mendatang. Melalui Pengawasan ketat MBG pemerintah memastikan layanan gizi menjadi investasi jangka panjang yang aman dan berkualitas. Yuk sama-sama kita kawal bersama MBG #MakanBergiziGratis https://t.co/JoZJpmImWj,program bukan retorika gotong royong patriotik generasi awas ketat mbg perintah layan gizi investasi jangka aman kualitas yuk kawal mbg,2,positif
Keamanan makanan anak-anak kita adalah prioritas tertinggi. Dengan sistem keamanan pangan berlapis dari hulu ke hilir (HACCP) hingga seleksi bahan baku yang ketat Pengawasan ketat MBG dipastikan berjalan maksimal. #MakanBergiziGratis #ProgramMBG #GenerasiEmas2045 https://t.co/H7VWuRoz7S,aman makan anak anak prioritas tinggi sistem aman pangan lap hulu hilir haccp seleksi bahan baku ketat awas ketat mbg jalan maksimal,-20,negatif
Program Makan Bergizi Gratis (MBG) nggak main-main! Badan Gizi Nasional menerapkan prinsip tegas No Service No Pay . Kalau SPPG nggak sesuai standar insentif bisa langsung dihentikan seketika. Ini bukti nyata Pengawasan ketat MBG #MakanBergiziGratis https://t.co/8gQ873kahr,program makan gizi gratis mbg enggak main main badan gizi nasional terap prinsip no service no pay sppg enggak sesuai standar insentif langsung henti bukti nyata awas ketat mbg,-2,negatif
Peringkat IQ Indonesia jadi alarm penting. Salah satu faktor kunci adalah gizi karena perkembangan otak sangat bergantung pada asupan sejak dini. MBG hadir sebagai solusi. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/3xEdXwE2eP,peringkat iq indonesia alarm salah faktor kunci gizi kembang otak gantung asupan mbg hadir solusi,-3,negatif
Stunting dan kekurangan gizi masih jadi tantangan. Lewat MBG pemerintah mendorong perbaikan gizi agar anak-anak bisa tumbuh lebih sehat dan cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/kXAY9Cw5bN,stunting kurang gizi tantang mbg perintah dorong baik gizi anak anak tumbuh sehat cerdas,-8,negatif
BGN menerapkan prinsip no service no pay dalam MBG. Jika dapur tidak memenuhi standar insentif langsung dihentikan demi menjaga kualitas makanan untuk anak-anak. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/dQVDE4fh92,bgn terap prinsip no service no pay mbg dapur tidak penuh standar insentif langsung henti jaga kualitas makan anak anak,-11,negatif
MBG kembali berjalan pasca Lebaran dengan pengawasan berlapis dari dapur hingga distribusi. Kawal bersama MBG demi gizi optimal! #MakanBergiziGratis #KawalBersamaMBG https://t.co/mRhp6aoyNk,mbg jalan pasca lebaran awas lap dapur distribusi kawal mbg gizi optimal,-2,negatif
Penguatan disiplin SPPG terus dilakukan pemerintah agar Program Makan Bergizi Gratis (MBG) terlaksana tepat sasaran berkualitas dan mampu meningkatkan gizi generasi penerus bangsa. #ProgramMBG #MakanBergiziGratis #GenerasiSehatIndonesia #IndonesiaMaju #GiziUntukMasaDepan https://t.co/N49tY4SFob,kuat disiplin sppg perintah program makan gizi gratis mbg laksana sasar kualitas tingkat gizi generasi terus bangsa,8,positif
Kawal bersama awasi bersama. MBG untuk rakyat harus tepat guna. #MakanBergiziGratis https://t.co/TM60rDGVRl,kawal awas mbg rakyat,0,netral
Jangan lengah! MBG perlu pengawasan ketat agar manfaatnya nyata. #MakanBergiziGratis https://t.co/28SgawefvB,jangan lengah mbg awas ketat manfaat nyata,-2,negatif
Dari pusat sampai daerah kawal MBG dengan pengawasan maksimal. #MakanBergiziGratis https://t.co/qCxHLr8UdM,pusat daerah kawal mbg awas maksimal,6,positif
Kalau dikawal bersama MBG pasti berdampak. Pengawasan ketat hasil maksimal. 🇮🇩 #MakanBergiziGratis https://t.co/HT2yXnw53e,kawal mbg dampak awas ketat hasil maksimal,0,netral
Pengawasan ketat MBG jadi bukti kalau kualitas gak main-main. Dari bahan sampai penyajian semua dipastikan layak dan higienis. #MakanBergiziGratis #PengawasanKetatMBG #IndonesiaSehat https://t.co/7UwxtBc4eV,awas ketat mbg bukti kualitas enggak main main bahan saji layak higienis,-2,negatif
Ini bukan sekadar 'bercanda' tapi tindakan kriminal terhadap kesehatan anak-anak kita. #MakanBergiziGratis #AdabNomorSatu #HigienitasPangan #ViralHariIni #InfoSekolah Trending in Indonesia bbm tidak naik https://t.co/VVvQujTmFI,bukan canda tindak kriminal sehat anak anak trending indonesia bbm tidak,-14,negatif
Pesan Menohok Siswa SMK untuk Program Makan Bergizi Gratis #makanbergizigratis #mbg #fyp #viralvideo #trending https://t.co/lJZVXSmFt8,pesan tohok siswa smk program makan gizi gratis,6,positif
@radarmasnetwork MBG diawasi ketat bukan program sembarangan kualitas dijaga dari dapur hingga distribusi. kawal bersama MBG Pengawasan ketat MBG #makanbergizigratis #nawacita #makanbergizi https://t.co/ndJc4Ut8mU,mbg awas ketat bukan program sembarang kualitas jaga dapur distribusi kawal mbg awas ketat mbg,-6,negatif
@radarmasnetwork MBG kembali berjalan dengan pengawasan keamanan pangan berlapis. kawal bersama MBG Pengawasan ketat MBG #makanbergizigratis #nawacita #makanbergizi https://t.co/LGXuZSLeku,mbg jalan awas aman pangan lap kawal mbg awas ketat mbg,-7,negatif
@radarmasnetwork BGN tegaskan prinsip no service no pay. kawal bersama MBG Pengawasan ketat MBG #makanbergizigratis #nawacita #makanbergizi https://t.co/rqT9acpegc,bgn tegas prinsip no service no pay kawal mbg awas ketat mbg,-3,negatif
@radarmasnetwork Aplikasi MBG resmi diluncurkan. kawal bersama MBG Pengawasan ketat MBG #makanbergizigratis #nawacita #makanbergizi https://t.co/8Ld9JlGakb,aplikasi mbg resmi luncur kawal mbg awas ketat mbg,-5,negatif
Kader Desa Kawengen Bergerak! MBG Didistribusikan ke Ratusan Warga #MBGKawengen #MakanBergiziGratis #viral #fyp #viralfyp #DataDesa #Kawengen #PKKPosyandu #DesaSehat #BalitaSehat #BumilBusui #MTMedia #BeritaDesa @BadanGizi_RI https://t.co/kH27NTQTa7,kader desa kawengen gerak mbg distribusi ratus warga,3,positif
Sistem monitoring digital kini memperkuat akuntabilitas program pangan nasional. Pengawasan ketat MBG dilakukan mulai dari dapur hingga ke tangan siswa. #MakanBergiziGratis https://t.co/UIgMnA5hxA,sistem monitoring digital kuat akuntabilitas program pangan nasional awas ketat mbg dapur tangan siswa,-3,negatif
Sertifikat Laik Higiene Sanitasi wajib dimiliki setiap unit layanan. Mari kawal bersama MBG untuk standar gizi unggul. #MakanBergiziGratis #BadanGiziNasional https://t.co/hxAc1bPR5F,sertifikat laik higiene sanitasi wajib milik unit layan kawal mbg standar gizi unggul,-13,negatif
Program MBG Mewujudkan Masa Depan Cerah Anak Bangsa. Wujud nyata kepedulian Pemerintah #ProgramMBG #MakanBergiziGratis #DariMBGUntukIndonesiaHebat https://t.co/3nU2rYCRGC,program mbg wujud cerah anak bangsa wujud nyata peduli perintah,6,positif
Dari Sumba hingga kota besar anak-anak yang mendapat MBG lebih sehat lebih aktif dan menunjukkan perkembangan kecerdasan yang nyata. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/0x83TdVY1c,sumba kota anak anak mbg sehat aktif kembang cerdas nyata,0,netral
Semua isu soal monopoli susu UHT untuk MBG tidak benar. BGN memastikan pengadaan bahan pangan dilakukan transparan sesuai tujuan program. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/rGYIaGnnyW,isu monopoli susu uht mbg tidak bgn ada bahan pangan transparan sesuai tuju program,-4,negatif
MBG yang diawasi cermat memastikan anak memperoleh gizi optimal setiap hari mendukung energi konsentrasi dan kecerdasan mereka. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/Krbz2MdcF7,mbg awas cermat anak oleh gizi optimal dukung energi konsentrasi cerdas,5,positif
93% anggaran MBG langsung untuk anak-anak memastikan gizi terpenuhi dan energi mereka optimal sehingga bisa tumbuh sehat dan lebih cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/B3iFJNotcD,anggar mbg langsung anak anak gizi penuh energi optimal tumbuh sehat cerdas,6,positif
️🇮🇩 Dukung Makan Bergizi Gratis! Gizi terpenuhi anak lebih sehat &amp; berprestasi. Dengan pengawasan ketat kualitas tetap terjaga. Untuk masa depan generasi Indonesia yang lebih baik. #MakanBergiziGratis #MBG #AnakSehat #GenerasiCerdas #IndonesiaMaju https://t.co/MEwm9SnyW5,dukung makan gizi gratis gizi penuh anak sehat amp prestasi awas ketat kualitas jaga generasi indonesia,6,positif
️🇮🇩 Makan Bergizi Gratis Fokus pada fakta: makanan sehat higienis dan diawasi ketat. Demi kesehatan &amp; masa depan anak Indonesia. #MakanBergiziGratis #MBG #CekFakta #AnakSehat #IndonesiaMaju https://t.co/HRfvHPrTCj,makan gizi gratis fokus fakta makan sehat higienis awas ketat sehat amp anak indonesia,3,positif
@msaid_didu @prabowo Selain itu MBG berperan penting dalam menurunkan angka anemia pada anak dari 42 6% menjadi 21 7% sekaligus meningkatkan pengetahuan dan kebiasaan hidup sehat. #MakanBergiziGratis #AnakSehatAnakCerdas #GiziUntukPrestasi,mbg peran turun angka anemia anak tingkat tahu biasa hidup sehat,-5,negatif
@msaid_didu @prabowo Program Makan Bergizi Gratis (MBG) membawa dampak positif bagi kesehatan dan prestasi belajar siswa. #MakanBergiziGratis #AnakSehatAnakCerdas #GiziUntukPrestasi,program makan gizi gratis mbg bawa dampak positif sehat prestasi ajar siswa,7,positif
@TIIndonesia MBG merupakan bagian dari peningkatan kualitas pendidikan #MakanBergiziGratis https://t.co/9pJNK4tFUI,mbg tingkat kualitas didik,5,positif
Program Makan Bergizi Gratis (MBG) terus dioptimalkan pemerintah untuk meningkatkan gizi masyarakat di seluruh pelosok Indonesia. #ProgramMBG #MakanBergiziGratis #NoServiceNoPay #GiziNasional #Akuntabilitas https://t.co/hEkRafu18T,program makan gizi gratis mbg optimal perintah tingkat gizi masyarakat pelosok indonesia,2,positif
Program Makan Bergizi Gratis (MBG) bukan cuma soal makan siang tapi langkah nyata bangun bangsa! Mulai dari memberdayakan UMKM petani lokal hingga memproyeksikan 1 5 juta lapangan kerja baru. Mari kita sama-sama kawal gizi anak demi generasi emas. #MakanBergiziGratis https://t.co/2ZQCi4HWe1,program makan gizi gratis mbg bukan makan siang langkah nyata bangun bangsa daya umkm tani lokal proyeksi juta lapang kerja kawal gizi anak generasi emas,10,positif
@IndonesiaJadi Bangga banget liat Presiden Prabowo serius sama SPPG bareng BGN dan Kejaksaan Agung pengawasan lewat Jaga Dapur MBG makin gampang #JagaDapurMBG #MakanBergiziGratis,bangga banget lihat presiden prabowo serius sppg bareng bgn jaksa agung awas jaga dapur mbg gampang,6,positif
Setiap menu MBG dipantau dengan detail memastikan anak-anak mendapatkan nutrisi yang mendukung perkembangan otak dan kemampuan belajar mereka. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/ptDtF69KtF,menu mbg pantau detail anak anak nutrisi dukung kembang otak mampu ajar,1,positif
MBG bukan sekadar makanan gratis tapi bekal gizi dan cerdas untuk masa depan anak Indonesia. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/9yedGnvBKE,mbg bukan makan gratis bekal gizi cerdas anak indonesia,1,positif
BGN menegaskan: MBG tidak pernah memproduksi susu UHT dan tidak ada monopoli. Label susu sekolah di pasaran hanyalah strategi produsen bukan bagian dari program MBG. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/0rXmDdjST4,bgn mbg tidak produksi susu uht tidak monopoli label susu sekolah pasar strategi produsen bukan program mbg,-15,negatif
Dengan pengawasan MBG yang ketat setiap porsi makanan anak tercatat dan terjamin gizinya sehingga tumbuh lebih sehat dan cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/pfCWnfSfVZ,awas mbg ketat porsi makan anak catat jamin gizi tumbuh sehat cerdas,-3,negatif
Program MBG adalah langkah nyata untuk memastikan generasi Indonesia tumbuh sehat cerdas dan kuat. Dengan akses makanan bergizi masa depan bangsa semakin terjamin. #DukungMBG #MakanBergiziGratis #IndonesiaSehat #GenerasiCerdas https://t.co/QOuxozoqJG,program mbg langkah nyata generasi indonesia tumbuh sehat cerdas kuat akses makan gizi bangsa jamin,2,positif
@RadioIdolaSMG waspada hoax soal MBG. #makanbergizigratis #nawacita #makanbergizi https://t.co/JLbzemiDjV,waspada hoax mbg,-5,negatif
@RadioIdolaSMG Program Makan Bergizi Gratis tidak hanya memberikan manfaat pada pemenuhan gizi nasional tapiiii ... juga memiliki potensi besar untuk mendorong pertumbuhan ekonomi loh. #makanbergizigratis #nawacita #makanbergizi https://t.co/Lj7z19hMYO,program makan gizi gratis tidak manfaat penuh gizi nasional tapiiii milik potensi dorong tumbuh ekonomi loh,8,positif
@RadioIdolaSMG BGN menegaskan bahwa pelaksanaan Program MBG dirancang tidak hanya untuk meningkatkan kualitas gizi masyarakat tetapi juga mendorong pertumbuhan ekonomi lokal melalui penyerapan produk UMKM dan Badan Usaha Milik Desa (BUMDes) setempat. #makanbergizigratis #nawacita #makanbergizi https://t.co/o49VmvpCvY,bgn laksana program mbg rancang tidak tingkat kualitas gizi masyarakat dorong tumbuh ekonomi lokal serap produk umkm badan usaha milik desa bumdes,-2,negatif
@RadioIdolaSMG Badan Gizi Nasional (BGN) mengambil langkah tegas dengan menjatuhkan sanksi kepada 1.251 Satuan Pelayanan Pemenuhan Gizi (SPPG) dalam melaksanaan Program Makan Bergizi Gratis (MBG) di seluruh Indonesia. #makanbergizigratis #nawacita #makanbergizi https://t.co/t3AKmLHJKb,badan gizi nasional bgn ambil langkah jatuh sanksi satu layan penuh gizi sppg laksana program makan gizi gratis mbg indonesia,0,netral
Pemerintah Percepat Distribusi Program MBG ke Pesantren Target 82 9 Juta Penerima https://t.co/LEFN1sW5Pt #ProgramMBG #Pesantren #MakanBergiziGratis #ZulkifliHasan #PemerintahPercepatMBG #Santri #PendidikanIndonesia #ProgramSosial #bitvonline https://t.co/wTA568MWRQ,perintah cepat distribusi program mbg pesantren target juta terima,7,positif
MBG Hadir Untuk Rakyat memastikan semua anak punya akses makanan bergizi tanpa terkecuali. Dari sini masa depan jadi lebih setara. #MakanBergiziGratis #MBGHadirUntukRakyat #IndonesiaMaju https://t.co/gWDOKN9yBO,mbg hadir rakyat anak akses makan gizi tanpa kecuali tara,0,netral
Kawal gizi anak itu langkah kecil dengan dampak besar. Saat gizi terpenuhi anak-anak bisa belajar lebih fokus dan tumbuh lebih optimal. #MakanBergiziGratis #KawalGiziAnak #GenerasiSehat https://t.co/01nvxgZtPr,kawal gizi anak langkah dampak gizi penuh anak anak ajar fokus tumbuh optimal,-10,negatif
Langkah preventif diambil BGN untuk memitigasi risiko kesehatan bagi masyarakat. MBG Penggerak Ekonomi Rakyat yang profesional dan bertanggung jawab. #MakanBergiziGratis https://t.co/xtJ1P7ARwH,langkah preventif ambil bgn memitigasi risiko sehat masyarakat mbg gerak ekonomi rakyat profesional tanggung,1,positif
Persiapan makanan bergizi melibatkan banyak sektor lokal. MBG penggerak ekonomi rakyat melalui pemberdayaan rantai pasok pangan di berbagai daerah. #MakanBergiziGratis https://t.co/3nOVmIhD4w,siap makan gizi libat sektor lokal mbg gerak ekonomi rakyat daya rantai pasok pangan daerah,-2,negatif
Pengawasan ketat di lapangan memastikan infrastruktur penyedia gizi sesuai aturan. MBG Penggerak Ekonomi Rakyat melalui standarisasi layanan berkualitas. #MakanBergiziGratis https://t.co/X7cdNigZDu,awas ketat lapang infrastruktur sedia gizi sesuai atur mbg gerak ekonomi rakyat standar layan kualitas,8,positif
Penyerapan produk lokal menjadi kunci utama dalam kemandirian ekonomi daerah. MBG Penggerak Ekonomi Rakyat dengan memberikan kepastian pasar bagi pelaku usaha kecil. #MakanBergiziGratis https://t.co/4r8i0cESOf,serap produk lokal kunci utama mandiri ekonomi daerah mbg gerak ekonomi rakyat pasti pasar laku usaha,3,positif
Potensi kenaikan PDB menjadi bukti keberhasilan program. MBG Penggerak Ekonomi Rakyat dongkrak kesejahteraan. #MakanBergiziGratis https://t.co/iIBqFh7wFu,potensi naik pdb bukti hasil program mbg gerak ekonomi rakyat dongkrak sejahtera,4,positif
Keren sih Presiden Prabowo support bareng BGN dan Kejaksaan Agung buat jamin SPPG aplikasi Jaga Dapur MBG jadi jaring pengaman #JagaDapurMBG #MakanBergiziGratis https://t.co/XeBXzAkGcs,keren sih presiden prabowo support bareng bgn jaksa agung jamin sppg aplikasi jaga dapur mbg jaring kam,2,positif
Inovasinya Presiden Prabowo bersama BGN dan Kejaksaan Agung soal SPPG beneran beda Jaga Dapur MBG bikin semua lebih mudah #JagaDapurMBG #MakanBergiziGratis https://t.co/yqlNDxFizh,inovasi presiden prabowo bgn jaksa agung sppg benar beda jaga dapur mbg bikin mudah,5,positif
Jempol buat Presiden Prabowo yang bener-bener niat ngawasin SPPG bareng BGN dan Kejaksaan Agung via Jaga Dapur MBG #JagaDapurMBG #MakanBergiziGratis https://t.co/auxSPpYpHr,jempol presiden prabowo niat ngawasin sppg bareng bgn jaksa agung via jaga dapur mbg,6,positif
Badan Gizi Nasional (BGN) resmi menjalin kerja sama dengan Pondok Pesantren Al-Markaz Serang untuk menjadi salah satu penyuplai utama bahan baku program Makan Bergizi Gratis (MBG). #MakanBergiziGratis #KawalMBG #Pesantren https://t.co/zQijelzh00,badan gizi nasional bgn resmi jalin kerja pondok pesantren al markaz serang salah suplai utama bahan baku program makan gizi gratis mbg,-9,negatif
Hari pertama masuk sekolah abis libur Lebaran anak-anak langsung disambut Makan Bergizi Gratis perdana dengan konsep prasmanan dari SPPG Sumapul Cihaurgeulis 2 Bandung. #KawalMBG #MakanBergiziGratis #Cihaurgeulis #bandung https://t.co/utMucEPovA,masuk sekolah habis libur lebaran anak anak langsung sambut makan gizi gratis perdana konsep prasmanan sppg sumapul cihaurgeulis bandung,6,positif
Epaper Erakini Jum'at 3 April 2026 MBG Ditiadakan saat Libur Sekolah #mbg #makanbergizigratis #menkopangan #zulkiflihasan #libursekolah https://t.co/ZgowN2WfpH,epaper erakini jum at april mbg tiada libur sekolah,2,positif
Program Makan Bergizi Gratis (MBG) hadir sebagai langkah nyata memastikan setiap anak Indonesia tumbuh sehat dan cerdas melalui sinergi pemerintah dan sekolah karena gizi yang baik hari ini adalah investasi masa depan bangsa #ProgramMBG #MakanBergiziGratis #MBG #IndonesiaSehat https://t.co/0TrydukN2B,program makan gizi gratis mbg hadir langkah nyata anak indonesia tumbuh sehat cerdas sinergi perintah sekolah gizi investasi bangsa,12,positif
Peran penting program MBG mewujudkan Indonesia Emas 2045 serta memberi manfaat bagi anak Indonesia. #DukungMBG #MakanBergiziGratis #GenerasiPenerus #MBGUntukSemua https://t.co/vZwuqIinoj,peran program mbg wujud indonesia emas manfaat anak indonesia,4,positif
Efisiensi MBG bukan sekadar penghematan tapi strategi agar anggaran bekerja lebih tepat sasaran. Dampak maksimal dicapai dengan distribusi yang lebih cerdas dan berkelanjutan #MakanBergiziBangunNegeri #MakanBergiziGratis #MBG #GiziUntukNegeri #MBGNutrisidanEkonomi https://t.co/QG6Yi4PsGX,efisiensi mbg bukan hemat strategi anggar sasar dampak maksimal capai distribusi cerdas lanjut,0,netral
Melalui Program Makan Bergizi Gratis anak-anak Papua nggak cuma makan mereka tumbuh lebih sehat belajar lebih fokus punya peluang masa depan yang lebih cerah #makanbergizigratis #koperasimerahputih #programpemerintah #visipresidenprabowo #gizisehatuntukindonesia https://t.co/dilTd6LlSj,program makan gizi gratis anak anak papua enggak makan tumbuh sehat ajar fokus peluang cerah,0,netral
Di balik senyum anak-anak Papua ini ada satu hal penting yang sedang dibangun: kesehatan kecerdasan masa depan yang lebih cerah #makanbergizigratis #koperasimerahputih https://t.co/r8m3MJEc4m,senyum anak anak papua bangun sehat cerdas cerah,-2,negatif
Melalui Program MBG &amp; KMP pemerintah hadir bukan cuma memberi bantuan tapi memastikan: Anak-anak mendapatkan asupan gizi yang layak Masyarakat merasakan manfaat nyata Kesejahteraan terus meningkat secara berkelanjutan #makanbergizigratis #koperasimerahputih https://t.co/RmT2UMrc0y,program mbg amp kmp perintah hadir bukan bantu anak anak asupan gizi layak masyarakat rasa manfaat nyata sejahtera tingkat lanjut,-10,negatif
Presiden Prabowo Perintahkan Program MBG Harus Sempurna Sebelum Akhir Tahun 2026 https://t.co/wF2is7HXi5 #ProgramMBG #MakanBergiziGratis #PrabowoSubianto #ZulkifliHasan #BadanGiziNasional #Perpres1552025 #KebijakanPemerintah #bitvonlin https://t.co/ZmfIXLdjzu,presiden prabowo perintah program mbg sempurna,3,positif
Dari petani hingga nelayan manfaatnya langsung terasa. MBG memastikan Gizi terpenuhi sambil mendukung ekonomi untuk generasi Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/fxsyF9N9Hu,tani nelayan manfaat langsung mbg gizi penuh dukung ekonomi generasi cerdas,9,positif
Menu susu bukan kewajiban. MBG memberi ruang variasi agar Gizi tetap optimal sesuai potensi daerah untuk anak Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/aPkjoLaqIZ,menu susu bukan wajib mbg ruang variasi gizi optimal sesuai potensi daerah anak cerdas,-9,negatif
Pengawasan MBG kini diperkuat dengan kolaborasi Kejagung. Tujuannya jelas menjaga kualitas Gizi tetap optimal untuk generasi Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/8tdDUeX5WU,awas mbg kuat kolaborasi jagung tuju jaga kualitas gizi optimal generasi cerdas,-1,negatif
Tidak ada susu khusus dalam MBG. Program ini tetap fleksibel memastikan Gizi terpenuhi sesuai kebutuhan daerah untuk mendukung anak Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/oyaLuKGeap,tidak susu khusus mbg program fleksibel gizi penuh sesuai butuh daerah dukung anak cerdas,-10,negatif
Dari total anggaran mayoritas digunakan untuk bahan baku. MBG memastikan Gizi berkualitas sekaligus menggerakkan ekonomi menuju masyarakat Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/KyJbwhUwmZ,total anggar mayoritas bahan baku mbg gizi kualitas gerak ekonomi masyarakat cerdas,2,positif
Sebagian besar anggaran BGN dialokasikan untuk MBG menunjukkan fokus nyata pada pemenuhan Gizi demi generasi Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/4TYhio229R,anggar bgn alokasi mbg fokus nyata penuh gizi generasi cerdas,3,positif
Perbedaan distribusi bukan ketimpangan tapi strategi. MBG menjaga standar Gizi agar tetap konsisten untuk anak Indonesia yang Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/pHDnpPTvv9,beda distribusi bukan timpang strategi mbg jaga standar gizi konsisten anak indonesia cerdas,-12,negatif
Distribusi MBG dirancang adaptif sesuai kebutuhan wilayah. Dengan skema berbeda kualitas Gizi tetap terjaga untuk memastikan anak tumbuh Cerdas. #cerdasdarimbg #makanbergizigratis #mbg #MBGLawanStunting https://t.co/OiXmf1xQkn,distribusi mbg rancang adaptif sesuai butuh wilayah skema beda kualitas gizi jaga anak tumbuh cerdas,-1,negatif
Tidak boleh ada anak Indonesia yang lapar! Dengan Makan Bergizi Gratis masa depan bangsa jadi lebih terjamin. Pendidikan dan gizi harus berjalan beriringan. Yuk dukung Program Makan Bergizi Gratis agar anak-anak Indonesia siap meraih mimpi! #MakanBergiziGratis #DukungMBG #MBG https://t.co/IJTnYBL8Jz,tidak anak indonesia lapar makan gizi gratis bangsa jamin didik gizi jalan iring yuk dukung program makan gizi gratis anak anak indonesia raih mimpi,-4,negatif
MBG hadir untuk rakyat memastikan semua anak punya akses gizi yang layak. Dari sini kesempatan tumbuh dan belajar jadi lebih merata. #MakanBergiziGratis #MBGHadirUntukRakyat #IndonesiaMaju https://t.co/mX8mW99xUB,mbg hadir rakyat anak akses gizi layak sempat tumbuh ajar rata,-9,negatif
@koramiltuntang Dari gizi anak hingga ekonomi rakyat MBG hadir sebagai solusi berkelanjutan. Saatnya kita dukung dan kawal bersama agar manfaatnya makin luas. Kawal gizi anak MBG hadir untuk rakyat Penggerak ekonomi rakyat #makanbergizigratis #nawacita #makanbergizi https://t.co/aBENZ0t8iQ,gizi anak ekonomi rakyat mbg hadir solusi lanjut dukung kawal manfaat luas kawal gizi anak mbg hadir rakyat gerak ekonomi rakyat,2,positif
@koramiltuntang MBG membawa manfaat ganda: anak-anak terpenuhi gizinya masyarakat pun mendapat peluang kerja yang lebih luas. Ini bukti program yang berdampak nyata. Kawal gizi anak MBG hadir untuk rakyat Penggerak ekonomi rakyat #makanbergizigratis #nawacita #makanbergizi https://t.co/uxFXKyA1dX,mbg bawa manfaat ganda anak anak penuh gizi masyarakat peluang kerja luas bukti program dampak nyata kawal gizi anak mbg hadir rakyat gerak ekonomi rakyat,-10,negatif
